pitch,bpm,onset,sample_rate,duration,channels,fname,song_name,instr,label_count
6.433132609101557,60.09265988372093,0.034829931972789115,44100,2.9999773242630385,2,[tru][cla]1954__1,[tru][cla]1954,tru,1
6.438409393467642,191.40625,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]1884__1,[tru][jaz_blu]1884,tru,1
4.263928663428565,147.65625,0.034829931972789115,44100,2.9999773242630385,2,[tru][pop_roc]2040__2,[tru][pop_roc]2040,tru,1
6.170455960279634,105.46875,0.034829931972789115,44100,2.9999773242630385,2,[tru][cla]2014__2,[tru][cla]2014,tru,1
4.571693837237246,77.1338619402985,0.034829931972789115,44100,2.9999773242630385,2,[tru][pop_roc]2066__1,[tru][pop_roc]2066,tru,1
5.8972674849204445,184.5703125,0.058049886621315196,44100,2.9999773242630385,2,[tru][cla]2051__2,[tru][cla]2051,tru,1
5.723180070233318,83.35433467741936,0.06965986394557823,44100,2.9999773242630385,2,[tru][jaz_blu]2031__1,[tru][jaz_blu]2031,tru,1
4.212459682767994,109.95678191489361,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]1875__2,[tru][jaz_blu]1875,tru,1
5.615243874056189,135.99917763157896,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]1974__3,[tru][jaz_blu]1974,tru,1
4.650054581990711,129.19921875,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]1891__1,[tru][jaz_blu]1891,tru,1
5.1371490082190645,114.84375,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]2030__1,[tru][jaz_blu]2030,tru,1
6.193473780081375,39.75360576923077,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]2020__3,[tru][jaz_blu]2020,tru,1
5.717481316083861,129.19921875,0.034829931972789115,44100,2.9999773242630385,2,[tru][jaz_blu]2025__2,[tru][jaz_blu]2025,tru,1
4.415662493412976,156.60511363636363,0.034829931972789115,44100,2.9999773242630385,2,[tru][cla]1904__3,[tru][cla]1904,tru,1
4.304830910429708,147.65625,0.06965986394557823,44100,2.9999773242630385,2,[tru][cla]2013__1,[tru][cla]2013,tru,1
4.782920415341854,92.28515625,0.034829931972789115,44100,2.9999773242630385,2,[tru][pop_roc]2035__3,[tru][pop_roc]2035,tru,1
6.180897599680222,109.95678191489361,0.034829931972789115,44100,2.9999773242630385,2,[tru][cla]2060__3,[tru][cla]2060,tru,1
4.492689574365394,120.18531976744185,0.034829931972789115,44100,2.9999773242630385,2,[tru][pop_roc]1947__3,[tru][pop_roc]1947,tru,1
